Title,Gross,Budget,ContentRating,Genre,Type,RTRating,IMDBRating
From Dusk Till Dawn,25728961,20000000,R,Horror,Fantasy,63,7.1
Broken Arrow,148345997,65000000,R,Action,Contemporary Fiction,55,5.8
City Hall,20278055,40000000,R,Drama,Contemporary Fiction,55,6.1
Happy Gilmore,38623460,10000000,PG-13,Comedy,Contemporary Fiction,58,6.9
Fargo,51204567,7000000,R,Thriller,Contemporary Fiction,94,8.3
The Craft,55669466,15000000,R,Thriller,Fantasy,45,5.9
Twister,495900000,88000000,PG-13,Action,Contemporary Fiction,57,6
Dragonheart,104364680,57000000,PG-13,Adventure,Fantasy,50,6.2
The Phantom,17220599,45000000,PG,Action,Super Hero,43,4.8
The Rock,336069511,75000000,R,Action,Contemporary Fiction,66,7.2
The Cable Guy,102825796,47000000,PG-13,Comedy,Contemporary Fiction,52,5.8
Eraser,234400000,100000000,R,Action,Contemporary Fiction,34,5.9
The Hunchback of Notre Dame,325500000,100000000,G,Adventure,Historical Fiction,73,6.5
The Nutty Professor,273814019,55000000,PG-13,Comedy,Kids Fiction,67,5.6
Striptease,32773011,50000000,R,Comedy,Contemporary Fiction,12,3.9
Independence Day,817400878,75000000,PG-13,Adventure,Science Fiction,61,6.5
Phenomenon,142836382,32000000,PG,Drama,Contemporary Fiction,50,6.3
Courage Under Fire,100833145,46000000,R,Drama,Historical Fiction,85,6.6
Multiplicity,20133326,45000000,PG-13,Comedy,Science Fiction,44,5.7
Trainspotting,24000785,3100000,R,Drama,Contemporary Fiction,89,8.2
A Time to Kill,152266007,40000000,R,Drama,Contemporary Fiction,68,7.1
Kingpin,32223424,25000000,R,Comedy,Contemporary Fiction,51,6.7
The Adventures of Pinocchio,36682170,25000000,G,Adventure,Fantasy,27,5.3
Chain Reaction,60209334,55000000,PG-13,Action,Contemporary Fiction,13,5.2
Escape from L.A.,25426861,50000000,R,Action,Science Fiction,56,5.3
Jack,58617334,45000000,PG-13,Drama,Contemporary Fiction,17,5.3
Tin Cup,75854588,45000000,R,Romantic Comedy,Contemporary Fiction,69,6.1
The Fan,18582965,55000000,R,Thriller,Contemporary Fiction,40,5.6
The Island of Dr. Moreau,27682712,40000000,PG-13,Adventure,Science Fiction,23,4.1
The First Wives Club,181489203,30000000,PG,Comedy,Contemporary Fiction,41,5.6
Extreme Measures,17378193,38000000,R,Drama,Contemporary Fiction,55,5.9
That Thing You Do!,31748615,2500000,PG,Drama,Historical Fiction,92,6.7
The Ghost and the Darkness,38564422,55000000,R,Action,Dramatization,51,6.6
The Long Kiss Goodnight,33447612,65000000,R,Action,Contemporary Fiction,69,6.6
