Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin
volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,1970,Europe
volkswagen super beetle,26,4,97,46,1950,21,1973,Europe
volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,1978,Europe
fiat 128,29,4,68,49,1867,19.5,1973,Europe
toyota corona,31,4,76,52,1649,16.5,1974,Japan
chevrolet chevette,29,4,85,52,2035,22.2,1976,US
mazda glc deluxe,32.8,4,78,52,1985,19.4,1978,Japan
vw pickup,44,4,97,52,2130,24.6,1982,Europe
honda civic cvcc,43.4,4,91,53,1795,17.5,1975,Japan
honda civic,41,4,91,53,1795,17.4,1976,Japan
volkswagen type 3,39,4,97,54,2254,23.5,1972,Europe
renault 5 gtl,36,4,79,58,1825,18.6,1977,Europe
toyota starlet,39.1,4,79,58,1755,16.9,1981,Japan
volkswagen model 111,27,4,97,60,1834,19,1971,Europe
chevrolet woody,44,4,98,60,2164,22.1,1976,US
toyota corolla tercel,38.1,4,89,60,1968,18.8,1980,Japan
honda civic 1300,35.1,4,81,60,1760,16.1,1981,Japan
datsun 710,32,4,83,61,2003,19,1974,Japan
vokswagen rabbit,29.8,4,89,62,1845,15.3,1980,Europe
toyota tercel,37.7,4,89,62,2050,17.3,1981,Japan
plymouth horizon 4,34.7,4,105,63,2215,14.9,1981,US
