Name,Control,Region,Locale,AdmissionRate,ACTMedian,SATAverage,Population,AverageCost,Expenditure
Harvard University,Private,New England,Mid-size City,6,34,1501,7278,57950,47083
Stanford University,Private,Far West,Large Suburb,6,33,1466,6980,58408,88200
Columbia University in the City of New York,Private,Mid Atlantic,Large City,7,33,1471,7970,61540,78147
Princeton University,Private,Mid Atlantic,Large Suburb,7,33,1495,5234,55430,48021
Yale University,Private,New England,Mid-size City,7,34,1497,5422,59320,106214
Massachusetts Institute of Technology,Private,New England,Mid-size City,8,34,1503,4510,57010,58223
Brown University,Private,New England,Mid-size City,9,32,1425,6182,58140,30823
University of Chicago,Private,Great Lakes,Large City,9,34,1504,5697,62425,74864
Dartmouth College,Private,New England,Remote Town,10,32,1446,4154,61398,25268
Claremont McKenna College,Private,Far West,Large Suburb,12,31,1397,1311,60065,26268
University of Pennsylvania,Private,Mid Atlantic,Large City,12,32,1442,10606,59600,52081
Adventist University of Health Sciences,Private,Southeast,Mid-size City,13,19,884,2064,21358,8382
College of the Ozarks,Private,Great Plains,Distant Town,13,23,1050,1513,26813,9444
Duke University,Private,Southeast,Mid-size City,13,32,1444,6501,59528,51653
Vanderbilt University,Private,Southeast,Large City,13,33,1475,6794,59890,76995
Amherst College,Private,New England,Large Suburb,14,32,1434,1785,59060,23275
Pomona College,Private,Far West,Large Suburb,14,33,1454,1587,57014,34930
Swarthmore College,Private,Mid Atlantic,Large Suburb,14,33,1442,1524,58481,29924
Bowdoin College,Private,New England,Fringe Town,15,32,1423,1789,58200,26266
Northwestern University,Private,Great Lakes,Small City,15,33,1458,8855,60729,34438
Pitzer College,Private,Far West,Large Suburb,15,0,0,1081,59266,24408
Cornell University,Private,Mid Atlantic,Small City,16,32,1422,14309,59572,23140
Washington University in St Louis,Private,Great Plains,Large Suburb,16,33,1474,6851,62594,97613
Georgetown University,Private,Mid Atlantic,Large City,17,31,1398,7261,59900,29282
Middlebury College,Private,New England,Distant Town,17,32,1391,2466,59200,23214
Rice University,Private,Southwest,Large City,17,33,1454,3920,52242,39651
Williams College,Private,New England,Fringe Town,17,32,1439,2051,59412,39164
Johns Hopkins University,Private,Mid Atlantic,Large City,18,32,1418,5932,58980,75570
